altura,peso
172.57,48.47
166.69,55.93
168.9,49.67
172.54,54.12
174.99,63.61
178.41,60.77
173.4,60.14
180.93,59.28
175.51,52.42
163.57,56.15
180.58,58.12
173.28,61.67
167.43,52.9
171.29,57.53
187.71,68.67
177.75,59.15
176.58,61.78
165.57,51.44
172.74,56.85
173.58,57.87
165.57,48.61
173.39,52.82
174.16,60.71
163.82,51.21
174.52,59.31
174.98,62.49
176.63,56.88
171.2,62.81
168.85,54.8
167.67,63.57
184.01,62.02
162.88,48.13
180.29,72.1
171.45,49.34
182.92,62.95
165.89,52.58
170.37,66.36
163.55,49.84
176.2,63.07
173.68,54.39
165.89,58.2
170.53,57.72
173.72,52.27
168.38,56.61
170.65,57.58
167.62,50.47
176.36,55.61
172.66,56.34
172.11,56.54
165.81,54.21
187.54,63.18
169.71,47.55
169.91,55.81
166.97,53.93
167.6,55.11
169.12,54.09
170.47,61.25
167.32,52.72
169.62,49.52
174.59,56.35
168.22,64.03
167.54,58.58
174.2,58.0
169.15,54.85
170.09,57.9
172.92,46.03
178.28,65.77
166.42,50.33
171.35,60.27
171.22,66.38
176.94,66.04
167.13,54.81
167.91,52.52
173.33,58.2
172.78,57.82
181.33,58.0
166.96,55.11
168.74,51.13
177.83,61.24
176.48,58.37
174.31,56.43
173.64,63.51
173.71,53.31
174.69,65.26
177.61,64.03
181.75,70.73
173.86,60.79
169.45,59.01
169.38,48.18
172.56,50.82
175.0,61.77
170.92,59.53
176.71,59.57
171.89,54.22
175.37,53.07
172.64,62.83
167.23,49.74
167.06,59.04
180.7,62.19
172.29,51.6
165.28,52.15
177.06,57.93
177.62,55.34
167.93,53.51
174.28,57.93
175.25,53.51
169.65,56.77
172.78,64.0
176.97,65.99
182.43,52.65
184.78,61.57
170.89,60.29
171.22,52.46
174.07,51.85
173.92,67.56
174.04,64.5
161.86,60.83
171.97,64.36
176.46,62.93
169.42,60.98
165.69,53.08
177.53,52.47
177.37,61.14
166.11,54.69
173.54,54.47
167.48,38.26
178.05,63.02
167.78,65.1
173.32,55.85
165.65,52.4
175.67,54.88
171.71,54.72
170.91,56.26
169.78,53.17
172.93,58.04
169.09,52.96
178.23,55.34
172.34,56.24
169.22,49.38
161.77,47.47
172.81,59.99
170.03,57.69
168.31,56.75
179.65,60.47
179.6,55.49
186.1,59.09
162.03,52.95
172.32,57.09
172.16,45.64
170.79,53.75
169.56,62.2
175.34,53.84
174.06,56.32
164.22,56.67
165.46,57.33
169.52,55.12
170.18,60.46
178.48,57.79
171.64,56.74
168.42,46.63
175.02,60.88
166.64,45.8
172.72,66.17
177.64,70.44
178.17,62.92
169.33,52.74
176.29,54.71
169.69,51.89
171.96,60.48
175.6,42.07
171.55,59.78
167.08,53.7
168.29,59.49
171.17,59.06
164.96,58.6
175.91,64.93
175.46,62.93
176.9,59.4
175.46,56.38
172.75,61.4
174.9,56.34
160.51,50.46
166.56,58.7
175.57,57.94
177.26,55.03
171.4,53.62
175.48,55.95
174.12,68.91
173.26,52.3
170.44,55.51
180.94,58.62
175.56,62.72
166.37,65.34
169.13,54.82
172.72,51.39
184.35,67.73
172.66,59.26
169.22,55.51
170.93,60.72
167.54,61.16
169.01,62.52
172.92,51.11
167.22,54.97
175.86,52.13
164.32,50.07
175.8,57.17
170.61,53.84
172.33,54.12
175.96,68.37
172.48,54.94
170.37,53.71
177.84,64.75
177.94,66.06
180.0,57.76
167.79,52.6
165.7,47.38
174.6,62.82
176.58,66.0
178.58,56.43
170.94,56.33
171.72,57.23
172.35,62.96
168.82,55.13
175.06,51.83
173.91,58.7
176.58,62.4
178.41,61.01
172.36,57.93
172.73,52.47
170.54,59.69
172.97,57.87
175.24,57.03
176.09,54.43
178.04,63.9
174.61,62.1
163.03,53.74
167.87,58.76
175.88,68.98
176.95,54.82
173.81,61.74
173.45,58.99
176.22,59.77
173.62,63.22
183.71,76.31
178.74,57.9
166.95,59.78
168.9,55.73
179.87,63.6
171.13,64.72
172.2,62.34
173.13,57.17
174.9,65.14
171.99,55.62
164.24,49.26
166.97,45.66
173.8,52.68
174.98,63.74
173.42,57.01
175.72,60.93
184.43,61.9
167.75,58.01
175.84,55.85
174.95,52.77
168.81,56.5
176.03,57.06
171.66,48.8
176.32,64.87
171.37,53.86
168.78,53.97
174.66,59.82
161.97,54.14
175.35,57.21
168.88,57.43
169.53,51.51
171.94,52.54
169.39,59.09
170.25,56.91
167.41,53.15
177.88,62.29
175.95,67.79
178.0,68.52
164.87,53.07
177.01,62.68
171.62,57.89
162.19,54.77
181.91,65.43
165.07,47.99
164.1,54.5
157.52,49.48
165.82,57.14
171.96,50.0
179.98,60.99
173.15,52.39
171.32,56.75
180.45,52.8
172.29,60.51
170.57,49.33
173.49,60.96
166.15,59.52
174.42,59.34
177.97,57.64
175.6,54.16
170.23,47.88
166.43,61.0
178.3,60.19
171.88,57.18
177.12,57.31
171.75,64.57
179.82,56.51
176.93,55.5
169.5,55.9
171.65,59.6
165.74,56.38
179.61,58.23
181.04,62.08
169.06,53.55
172.83,55.11
173.02,54.1
180.94,57.4
169.99,58.63
180.6,61.14
176.31,66.26
175.69,73.67
174.19,59.05
176.79,59.96
175.39,57.81
173.45,56.86
175.9,61.12
173.33,55.31
171.92,57.0
174.86,66.2
176.58,54.4
170.12,50.58
182.89,62.9
171.31,61.24
167.8,52.85
166.56,56.23
173.49,62.12
180.41,69.44
179.75,57.31
171.47,65.8
176.55,61.31
168.77,49.35
174.17,50.13
170.21,62.72
174.5,54.21
173.3,52.31
178.83,60.04
166.88,42.64
166.89,57.79
173.94,60.92
169.24,56.69
169.78,56.28
177.54,60.58
171.84,60.85
173.51,59.08
177.16,62.64
174.19,57.43
173.09,59.79
172.67,59.75
164.66,53.35
175.79,57.24
175.93,57.84
180.19,64.63
175.46,63.25
168.15,50.04
180.49,59.85
175.25,58.61
180.24,56.4
167.7,57.39
177.45,67.69
169.74,64.48
175.5,57.67
169.71,55.49
170.51,51.1
164.02,60.9
174.45,54.75
171.54,52.52
180.79,58.37
179.16,61.13
181.7,53.68
169.6,48.15
168.49,57.33
164.67,51.88
173.69,59.09
172.85,55.93
175.49,55.73
177.57,57.01
173.75,50.68
173.55,56.95
170.07,54.42
179.19,60.15
176.22,60.18
171.5,53.28
164.77,46.2
175.6,58.26
174.78,60.8
171.61,57.95
173.15,57.89
167.15,63.23
164.9,51.68
173.62,66.91
169.46,60.17
175.72,60.24
167.36,47.67
167.73,57.84
176.38,59.3
170.56,58.32
166.86,55.6
176.35,71.35
169.02,54.93
175.37,66.91
171.76,53.29
176.76,60.08
173.03,53.6
180.92,56.12
168.74,59.13
168.45,55.74
172.79,48.93
173.45,53.79
169.97,56.99
182.31,67.4
167.76,68.17
175.3,57.64
174.52,58.38
165.13,53.72
167.79,56.87
180.76,67.71
171.58,48.69
174.84,60.64
173.02,56.63
172.48,51.12
171.81,57.99
177.25,60.85
172.72,62.87
176.31,57.17
178.89,58.78
171.89,60.83
172.42,48.14
172.9,57.63
170.17,55.3
181.81,68.37
163.49,52.62
172.54,56.91
177.59,59.7
177.64,58.54
169.67,58.56
178.08,67.21
175.13,47.8
172.79,50.14
176.18,53.81
173.86,55.71
166.89,56.65
176.67,61.58
167.25,52.82
174.75,56.86
175.36,60.38
171.1,62.75
178.71,56.47
177.52,62.02
165.49,52.17
176.3,60.16
174.01,64.92
166.92,61.12
162.52,55.62
178.0,69.66
173.8,57.28
173.32,61.11
172.28,61.05
168.43,53.7
177.17,55.02
166.9,60.0
169.88,63.08
170.89,50.21
179.41,69.9
177.64,56.32
167.33,61.02
184.02,62.71
177.98,67.62
171.92,57.61
167.93,53.44
177.66,67.54
173.34,58.16
174.76,58.83
169.21,56.96
178.28,58.42
166.6,56.33
174.49,68.68
164.81,48.53
177.34,66.05
168.5,55.15
178.93,59.39
177.78,61.52
178.15,56.21
170.64,59.87
173.24,53.29
172.11,58.81
164.59,55.51
168.86,51.98
170.14,52.86
166.88,63.24
169.74,56.01
168.53,60.12
178.14,65.05
178.09,60.3
163.99,44.86
173.12,55.54
170.55,47.48
180.06,64.77
173.13,59.39
180.84,65.24
172.53,64.54
165.87,48.96
168.68,47.94
181.12,56.88
175.41,48.27
167.52,53.77
176.88,62.04
180.61,66.19
168.2,58.8
167.98,49.21
172.17,55.0
169.36,61.57
177.78,62.37
180.71,56.25
174.34,58.45
175.48,60.64
172.65,48.32
167.51,51.27
167.69,57.14
180.94,63.64
171.52,64.97
180.52,66.14
173.41,58.14
170.99,60.86
175.23,63.6
173.75,66.38
170.41,59.91
169.59,55.4
166.74,59.63
165.97,58.75
173.18,57.04
179.47,69.46
167.5,56.5
176.85,61.15
173.48,52.34
177.95,53.51
173.83,56.5
175.95,60.96
171.97,58.65
180.07,60.39
179.18,66.84
181.82,70.31
173.79,57.28
176.17,60.99
178.93,60.79
171.15,58.48
171.47,55.82
174.04,50.88
169.69,50.69
183.86,67.34
174.03,62.03
179.83,60.42
168.2,53.02
173.51,56.63
170.62,55.15
172.14,55.88
171.38,62.2
172.15,55.11
175.77,68.47
177.91,64.55
179.25,61.12
168.79,60.58
171.91,61.73
167.02,43.18
176.16,54.31
179.3,69.36
170.88,63.59
173.96,65.88
170.24,54.2
167.07,56.02
167.55,50.2
173.2,50.57
183.1,63.27
169.81,60.37
175.54,60.56
164.06,51.15
170.28,56.61
175.24,55.98
179.32,64.45
178.03,52.74
166.84,59.48
170.43,59.53
167.74,57.72
175.93,55.54
169.2,52.27
173.02,57.58
177.12,65.07
162.61,56.87
168.24,49.45
184.07,63.16
168.2,46.35
181.1,65.49
160.34,37.69
180.16,65.95
173.37,61.2
164.54,61.09
166.19,50.57
175.04,54.34
165.02,43.41
168.03,53.14
167.6,57.71
175.88,65.73
173.53,55.72
178.09,60.87
174.33,56.69
172.07,61.62
164.05,54.8
164.24,56.71
167.41,60.58
167.07,56.5
170.56,61.67
183.5,65.12
174.58,59.23
171.63,57.69
178.72,64.06
161.6,48.73
168.17,55.48
168.2,50.62
177.98,62.55
176.93,64.81
168.28,51.91
172.9,58.18
170.56,61.04
174.67,63.55
173.03,55.33
166.95,50.54
175.7,61.27
178.72,60.32
179.8,53.41
180.04,61.23
169.22,68.77
177.76,58.48
170.0,54.5
181.5,56.97
176.95,57.98
176.05,61.75
169.16,52.75
163.07,57.64
173.31,57.02
178.03,54.92
180.28,55.67
164.93,54.18
169.93,60.28
175.76,60.27
173.77,56.4
168.44,59.97
183.22,64.77
167.0,58.79
177.72,58.3
165.39,51.25
171.28,55.37
168.65,53.7
170.66,59.03
171.92,50.66
172.15,64.52
161.62,55.61
168.78,55.71
182.69,54.03
172.52,63.25
172.75,64.11
172.12,54.33
175.76,61.84
170.18,53.71
170.43,62.46
177.42,58.55
171.27,56.0
173.0,52.36
173.47,58.94
176.41,61.67
175.47,57.98
180.13,63.1
163.08,49.54
180.6,56.52
183.1,61.79
168.02,54.65
171.52,52.69
170.63,52.39
185.24,64.41
166.47,61.46
175.48,61.29
165.84,49.1
174.08,56.76
181.17,64.82
169.88,58.19
172.5,58.18
170.19,46.98
173.42,70.81
168.16,47.61
163.18,55.17
171.29,59.88
163.83,53.71
175.0,61.41
178.64,63.8
163.37,50.65
170.47,58.07
172.75,59.18
173.36,58.16
172.13,64.78
171.3,55.83
166.97,53.47
176.9,59.39
182.7,58.59
176.26,65.58
170.55,52.55
175.63,52.86
169.94,64.41
172.31,59.93
172.96,61.35
168.0,57.64
180.76,58.9
171.6,61.01
177.83,55.05
184.31,64.93
169.17,56.6
174.04,54.5
168.52,63.24
175.33,59.73
175.58,59.45
173.34,58.92
173.96,55.95
179.53,62.38
178.71,62.09
171.76,53.71
176.39,52.73
172.53,56.63
173.72,54.88
168.45,47.68
180.92,65.97
165.84,49.07
167.65,59.14
171.75,53.3
175.52,61.63
175.25,57.84
175.45,68.67
173.59,51.02
182.07,71.1
174.69,62.69
168.1,49.7
183.82,63.49
169.8,56.51
167.02,59.19
177.02,68.53
168.35,49.34
168.85,48.08
174.55,65.06
173.46,52.05
171.87,56.14
181.1,63.27
170.37,52.54
179.53,66.48
181.36,69.85
180.35,62.41
168.35,57.12
172.86,63.36
162.98,57.32
169.87,51.68
179.15,58.86
166.26,52.7
175.55,63.11
172.57,57.6
170.72,57.08
171.8,51.49
178.04,55.9
163.61,55.82
177.23,58.12
169.12,58.03
173.1,50.11
168.1,58.03
169.66,53.6
170.6,58.84
172.77,59.24
170.07,47.65
174.51,55.62
176.99,62.74
168.98,48.87
168.83,64.16
181.47,69.72
169.23,61.03
162.59,49.74
165.18,53.16
169.6,56.37
175.06,56.8
180.92,60.43
180.6,55.61
177.31,61.17
170.41,50.55
170.89,53.0
182.54,64.93
170.69,45.32
173.84,58.02
170.7,61.99
176.19,65.95
175.37,57.46
167.4,58.15
168.78,55.72
167.84,60.44
176.16,52.96
179.92,65.34
171.87,60.11
165.89,56.24
169.34,51.32
170.01,56.22
172.06,60.77
163.26,58.13
169.76,55.02
167.38,55.66
171.85,56.89
174.47,56.64
167.84,52.88
169.96,58.92
176.49,56.2
174.24,62.44
175.8,59.37
171.79,64.4
166.96,57.03
167.89,47.36
171.84,53.1
171.69,59.77
176.73,56.91
167.87,58.77
178.0,59.01
165.12,59.84
175.68,64.62
176.82,57.9
181.57,69.54
176.46,57.5
175.27,51.72
176.68,60.77
174.34,57.87
170.69,57.37
167.83,54.78
168.11,57.45
179.85,60.36
170.58,57.14
165.86,55.03
175.86,58.87
175.03,58.99
183.76,55.97
173.47,62.27
173.6,57.95
171.36,60.64
174.92,51.68
169.23,61.51
164.52,55.61
171.97,53.95
185.4,60.9
180.22,56.37
172.61,59.28
170.71,56.55
168.58,58.55
171.8,55.31
177.15,57.27
173.17,61.06
169.92,59.81
171.44,46.98
168.95,52.79
169.88,56.02
177.11,68.19
177.25,61.35
166.12,51.01
172.72,62.36
183.53,60.23
179.82,57.17
165.58,64.12
171.99,61.65
177.93,61.08
170.95,55.35
168.65,58.22
177.13,59.26
174.54,59.75
162.27,49.27
173.76,51.97
172.55,60.56
179.57,61.63
175.14,67.18
168.9,56.03
174.23,54.81
168.31,52.74
176.75,56.2
171.09,54.12
177.01,54.16
173.84,56.51
173.94,59.37
166.25,53.62
169.69,49.73
177.93,63.61
171.29,55.15
169.02,44.59
171.0,53.35
172.65,61.92
175.36,67.58
171.94,56.23
176.03,60.6
166.11,53.18
173.63,56.06
166.04,53.42
173.65,62.25
180.74,58.6
175.91,64.59
169.41,58.28
175.71,52.3
173.52,54.22
172.25,55.21
174.15,64.79
168.23,49.95
175.14,55.38
172.38,56.62
172.86,54.12
172.06,60.08
177.38,60.34
179.54,72.98
163.94,54.04
172.55,62.83
172.14,56.62
176.31,61.68
172.14,52.72
172.21,63.14
172.68,62.59
177.75,65.55
162.13,49.53
166.55,57.71
176.13,56.5
170.9,52.13
174.61,60.1
175.34,56.88
176.9,58.29
169.42,53.4
172.5,51.23
163.5,57.24
167.32,53.88
170.37,56.9
176.14,56.67
177.37,66.0
167.9,52.97
175.93,60.11
173.57,52.11
176.23,55.73
175.59,59.23
173.85,54.03
168.52,60.7
177.88,58.32
178.22,63.06
173.19,45.94
178.11,63.94
173.81,61.06
168.76,58.94
182.19,63.08
179.64,61.33
172.95,58.82
178.13,58.58
167.78,58.52
177.22,51.14
173.12,57.2
177.58,53.69
165.98,55.78
173.62,59.13
163.84,51.81
172.61,52.52
174.18,62.57
173.03,50.91
174.69,62.25
172.53,56.67
175.64,61.28
160.54,51.9
175.88,55.42
167.35,58.68
172.34,58.94
166.56,63.71
169.44,54.84
175.7,58.59
175.86,62.21
171.63,65.87
176.54,63.55
179.33,56.3
169.02,61.55
175.55,57.95
177.68,65.34
171.97,59.84
175.74,61.47
172.22,68.65
171.77,56.57
178.74,61.36
180.41,61.93
177.41,62.54
170.4,51.8
174.3,64.22
163.51,50.39
167.48,57.33
165.72,60.28
179.11,65.68
169.19,49.16
170.52,56.31
169.61,58.72
171.94,59.57
172.28,50.64
169.25,50.64
171.76,63.65
176.96,56.94
159.39,51.93
163.93,51.71
172.77,53.16
168.62,62.74
178.28,55.51
164.2,60.3
171.42,56.27
182.93,65.39
169.2,52.37
167.18,52.85
180.75,63.33
174.04,60.43
165.0,54.44
169.88,55.84
178.7,60.26
172.0,54.86
167.72,58.86
175.22,62.1
174.25,59.48
169.78,60.55
172.81,61.86
164.58,59.63
179.2,57.24
173.44,52.18
174.69,59.11
170.42,59.74
178.16,61.53
166.29,54.57
175.32,58.58
188.59,68.14
162.78,54.53
171.65,59.94
175.75,59.93
163.79,54.21
174.65,62.03
173.87,67.03
168.76,66.04
178.25,56.68
170.53,58.02
169.97,57.11
174.33,49.75
170.07,48.89
177.73,60.83
169.99,61.19
174.66,63.34
171.21,57.62
167.0,61.13
167.34,45.35
169.61,58.72
170.08,58.68
161.2,47.02
173.61,52.5
163.66,47.58
161.35,59.42
169.83,58.55
166.46,46.52
182.43,60.43
174.92,66.36
179.81,63.87
175.31,60.08
171.08,53.91
168.48,60.53
172.11,61.18
174.37,58.82
173.2,62.02
181.71,60.78
174.22,58.12
181.2,59.08
170.66,59.1
171.96,58.21
162.89,60.8
177.55,63.77
169.47,52.25
176.16,61.62
177.06,64.8
172.05,64.91
173.15,52.14
182.75,67.78
171.13,59.9
165.96,57.61
166.72,46.88
175.05,56.84
166.23,59.26
173.02,56.41
176.59,63.78
176.28,56.35
177.82,60.31
174.24,59.06
164.5,48.36
171.52,49.44
169.47,49.87
172.59,56.41
175.51,59.65
177.92,62.34
172.52,52.63
172.7,53.48
175.06,52.95
169.55,52.37
172.9,58.95
174.65,67.55
180.16,57.19
173.48,52.39
175.9,72.02
173.72,64.05
173.94,58.89
176.46,62.17
168.48,55.9
169.89,53.51
165.61,46.49
173.67,59.25
170.45,65.6
159.11,45.45
175.44,54.56
180.74,65.46
175.09,52.11
172.99,64.2
163.72,52.03
167.56,55.18
174.58,54.12
179.16,61.33
171.21,52.59
167.93,55.89
176.46,60.36
180.23,61.84
166.54,56.31
166.35,52.75
174.99,60.4
171.7,62.57
168.08,60.47
174.51,51.81
166.31,62.44
172.02,59.66
177.86,62.24
177.09,61.3
172.49,51.68
166.66,60.14
181.37,60.59
168.35,48.43
165.17,43.18
166.85,51.83
169.82,57.37
173.3,57.47
167.95,50.31
181.17,60.04
178.33,60.65
180.43,65.32
173.19,58.93
175.24,48.34
172.61,55.31
176.53,53.6
170.5,48.39
172.1,58.26
171.91,57.81
164.39,46.69
177.11,57.98
174.0,63.41
179.23,60.46
169.13,54.56
162.06,46.45
168.63,60.87
169.65,55.1
170.15,49.1
184.45,66.15
172.23,52.13
174.34,56.55
167.18,51.54
169.1,57.27
168.66,56.26
169.57,54.68
175.32,56.44
178.43,59.05
178.27,62.27
171.79,57.56
168.75,53.65
171.46,54.29
173.22,60.93
168.46,54.45
178.66,63.63
172.66,63.23
167.83,47.68
172.72,63.65
166.33,63.4
170.17,53.75
177.53,55.26
172.8,59.12
177.83,62.7
169.96,54.42
181.43,64.2
163.64,58.09
174.33,55.64
178.18,61.5
177.66,72.03
168.68,46.81
165.79,55.76
170.25,54.13
168.49,63.31
177.94,56.3
181.59,60.12
170.48,52.65
184.2,73.88
174.24,59.48
169.47,56.64
173.56,56.13
168.98,53.98
177.31,61.44
178.28,63.35
171.97,54.59
169.51,51.27
173.67,52.46
173.08,58.34
165.95,43.78
173.42,55.64
175.71,58.69
168.86,58.44
168.34,60.37
172.22,59.02
184.57,63.01
179.38,63.02
171.33,48.04
174.04,61.43
183.03,66.82
164.38,49.33
168.89,58.5
182.66,67.03
173.68,58.32
176.38,57.8
166.82,58.47
172.67,55.96
173.2,55.36
172.64,72.42
171.94,55.11
169.82,56.41
174.0,59.22
168.83,53.42
179.16,66.74
174.25,58.36
170.53,52.47
162.12,47.22
171.18,55.54
181.14,56.52
172.67,45.54
172.22,59.79
180.48,61.12
179.52,67.38
176.41,68.65
172.1,55.07
168.6,60.2
169.95,53.58
171.09,54.62
177.89,64.16
188.45,58.54
173.84,58.65
174.92,67.39
168.7,50.95
174.2,59.01
175.3,55.87
162.88,45.07
184.37,63.11
176.63,59.86
176.08,57.92
170.84,62.07
174.77,57.38
167.22,50.43
175.63,58.3
169.58,55.86
173.0,64.13
168.98,57.61
169.48,53.55
169.34,52.32
167.99,62.11
172.83,57.41
171.12,58.61
173.68,64.49
174.35,61.95
170.35,55.32
176.0,66.64
177.74,64.71
173.65,63.61
173.25,49.82
171.06,61.19
167.42,57.88
171.14,49.43
179.77,62.79
185.03,68.7
164.99,58.97
174.43,51.3
174.59,58.58
171.03,60.41
169.39,56.64
167.26,55.1
179.87,62.53
165.34,57.08
179.37,61.38
172.62,48.71
179.55,65.4
168.51,45.63
182.83,59.05
178.24,63.91
179.4,65.17
164.78,40.96
176.85,59.16
165.54,56.19
175.5,69.89
182.42,62.37
174.4,64.33
170.63,57.53
172.73,59.85
179.76,54.88
174.82,54.33
177.92,57.95
175.14,60.89
163.61,49.23
162.12,56.73
173.62,55.8
175.91,58.92
186.39,70.22
176.18,68.91
179.63,61.55
171.68,57.7
180.31,62.54
172.06,56.46
180.61,70.13
182.78,60.81
166.98,53.28
166.73,58.22
173.66,53.57
179.09,57.98
168.74,58.93
169.17,59.57
172.81,58.13
177.38,55.72
173.28,65.13
172.16,48.34
170.66,56.67
168.07,51.56
167.6,47.85
178.75,56.87
170.14,54.44
175.44,61.26
163.57,50.83
178.56,57.44
173.91,57.49
172.91,62.91
176.92,65.02
172.34,56.55
174.78,54.08
174.96,58.75
181.08,64.05
164.94,56.67
163.57,53.38
171.73,58.11
166.03,56.93
174.17,63.46
176.86,60.13
164.24,58.75
180.8,63.23
166.87,55.21
167.78,55.68
170.31,53.25
173.8,61.65
174.1,56.17
167.52,46.65
170.06,54.13
164.89,47.37
169.15,58.62
173.17,62.7
176.72,62.89
182.01,59.15
165.27,56.44
169.81,58.01
172.32,56.82
175.84,54.96
177.17,58.12
171.42,55.11
173.04,58.68
174.0,57.82
171.45,51.32
174.84,60.14
166.14,50.16
173.51,63.14
174.71,58.4
166.12,60.31
169.56,56.71
166.05,43.46
179.45,69.36
180.28,54.98
169.57,57.81
168.32,54.56
171.05,57.83
171.17,50.36
180.45,69.65
161.9,50.32
169.98,54.93
167.26,56.02
170.27,52.78
172.54,61.21
169.49,51.64
168.52,51.28
168.99,57.86
174.27,56.77
167.92,52.37
170.21,63.02
178.96,60.46
165.93,59.2
170.9,51.83
178.75,62.42
172.84,51.95
178.74,63.27
173.69,56.56
172.18,58.99
177.24,64.31
176.77,56.91
172.67,54.06
167.24,48.55
170.16,56.86
161.41,52.51
181.63,58.42
177.65,58.68
180.87,66.07
181.77,56.07
165.89,56.53
165.57,55.68
165.74,54.56
171.36,58.35
170.88,50.59
165.03,53.41
164.1,49.65
177.13,60.3
172.15,56.33
176.04,62.06
181.31,64.95
166.65,53.21
168.23,59.34
168.99,62.34
171.49,58.5
172.02,52.0
174.17,62.81
168.24,55.88
172.09,55.34
173.44,67.76
173.74,62.24
167.88,62.9
177.89,53.9
166.29,52.95
168.83,59.68
172.35,58.77
178.73,59.64
172.96,56.79
177.96,59.8
171.85,54.9
175.48,55.28
173.76,67.09
175.59,59.25
172.65,63.49
171.78,57.45
169.68,52.98
174.18,60.07
171.33,59.26
174.34,60.16
167.45,56.47
179.57,58.8
172.96,59.55
176.54,55.06
170.28,53.0
175.38,65.06
179.48,63.55
172.58,57.68
174.02,52.8
174.78,66.04
170.56,61.72
173.59,57.25
171.16,59.42
164.81,59.74
166.46,56.78
176.26,66.7
168.83,49.6
160.67,54.77
171.74,51.02
177.5,62.8
178.2,62.01
179.35,61.7
181.32,67.45
169.01,54.63
180.49,60.57
171.8,63.52
162.16,58.52
169.65,54.93
174.27,57.0
178.84,53.37
165.62,60.76
175.48,55.32
173.47,61.41
167.23,50.63
170.65,53.21
172.4,59.76
171.49,59.13
172.69,56.58
178.66,57.85
170.94,53.78
167.53,53.86
165.82,53.18
182.53,57.83
170.99,58.5
174.05,67.0
177.16,59.95
167.03,58.81
170.84,64.67
171.68,55.88
166.49,51.99
179.27,60.86
164.94,58.69
177.44,60.36
179.88,59.0
173.48,63.18
171.57,59.67
182.62,61.38
174.8,59.22
174.19,65.72
167.68,55.28
170.83,50.19
179.21,68.08
168.39,56.18
174.17,58.25
174.26,56.79
172.71,58.85
167.97,57.03
168.69,59.87
173.8,63.53
169.69,51.76
172.02,52.68
180.32,53.39
171.6,59.55
175.58,51.53
172.66,65.66
168.4,64.23
176.05,63.51
166.71,49.18
168.21,53.18
169.53,57.5
176.94,61.27
173.27,59.88
175.98,49.54
176.89,58.0
181.56,55.37
176.21,62.45
165.58,57.87
162.62,50.61
169.13,55.06
167.17,62.98
167.9,52.85
174.15,62.34
172.45,55.33
181.42,52.98
167.61,57.17
180.23,52.04
163.51,57.49
177.21,59.58
168.83,54.02
172.11,62.53
180.79,58.78
170.98,58.11
178.36,62.35
176.0,58.8
168.55,60.55
175.96,56.6
168.6,51.68
160.63,53.0
175.72,62.94
175.55,56.91
171.4,59.24
177.17,60.9
176.84,65.08
167.52,64.53
174.98,63.43
170.79,60.1
172.05,62.85
174.56,55.84
165.61,60.19
168.37,48.36
172.77,61.23
169.91,59.38
172.21,55.56
169.3,61.72
177.22,54.22
173.8,53.41
166.51,52.42
173.6,47.49
168.3,56.09
168.67,62.84
174.36,59.98
174.51,53.2
172.8,64.27
168.29,58.8
162.81,42.87
170.35,54.72
167.14,55.06
172.85,60.45
171.52,58.02
168.55,55.97
180.01,62.13
173.47,51.77
170.27,53.56
180.12,55.28
174.69,66.01
174.77,58.51
169.69,50.11
165.17,57.57
182.46,64.01
171.22,62.68
174.91,60.16
168.65,57.7
172.47,66.34
175.36,64.25
168.31,57.39
173.9,55.14
